Year,Mn/Yr,Case No,Case OPENED,Case CLOSED,Complaint No,CR Opened,CR Closed,Category,Family,Failure Mode,Sub Failure Mode,Customer,Subject,Warranty Status,Solution,Plant,EDR?,COMPLAINT / REQUEST?,,Entity Responsible,Action,CR Complete?,,,,
2020,Sep-20,73728535,2020/09/30,In Progress,CR-2972415,30/09/2020,In Progess,Troubleshooting*,Series-C,Functional,Gas Leak,Cust_A,AP Complaint: Cust_A Series-C RE2282 SN 702420 - low gas,Standard Warranty,Replace,GX,Y,Actual Complaint,Sept,Other,Replace switch,No,,,,
2020,Sep-20,73575784,2020/09/24,In Progress,CR-2969704,1/10/2020,In Progess,Others,Series-B,Missing Parts,Other,STC,AP Complaint: E-Series Holder Missing,Standard Warranty,Replace,GX,N,Actual Complaint,,LAC,Send parts,No,,,,
2020,Sep-20,73483487,2020/09/22,In Progress,NA,NA,NA,Troubleshooting*,Series-A,Functional,Unresponsive to command,Cust_A,AP Complaint: Series-A2-Cust_A LK3407 SN 503537 LS40066 - Tank fault,Standard Warranty,TBD,TBD,?,Actual Complaint,TBD,TBD,TBD,TBD,,,,
2020,Sep-20,73198264,2020/09/11,14/09/2020,CR-2940781,11/09/2020,14/09/2020,Troubleshooting*,Series-A,Manufacturing,Electrical Assembly,Cust_A,AP Complaint: Cust_A Cable strands marked 3PGs Arrangement -,Standard Warranty,Inform,GX,N,Actual Complaint,,LAC,Implement CAPA,Yes,,,,
2020,Sep-20,73153642,2020/09/10,In Progress,CR-2942918,18/09/2020,In Progess,Troubleshooting*,Series-G,Electronics,No Response,Cust_B,AP Complaint: Series-A2 Cust_B Power-Series-G3 Noise,Out of Warranty,Replace,GX,Y,Actual Complaint,Sept,Other,Replace CAPE,No,Good will,,,
2020,Sep-20,72876344,2020/09/01,In Progress,CR-2922524,1/09/2020,In Progess,Troubleshooting*,Series-A,Other ,Symptom not described above,Cust_B,AP Complaint: Suspected PCB3 failure LBS F2505 GWH Hartley,Standard Warranty,Replace,GX,N,Actual Complaint,,Other,Send SCEM,No,Good will,,,
2020,Aug-20,72727947,2020/08/26,26/08/2020,N/A,N/A,N/A,Delivery or Collection Issues*,N/A,N/A,N/A,DPAS,AP Complaint: Cust_A Nuts missing for cable lug FW: P/O 4500765252,Standard Warranty,Replace,GX,N,Actual Complaint,,LAC,Send Parts,N/A,,,,
2020,Aug-20,72643482,2020/08/24,In Progress,CR-2908910,24/08/2020,In Progress,Troubleshooting*,Series-G,Electronics,Power Supply,Cust_C,AP Complaint: Cust_C Series-G3 backup issues Kennedys Creek ACR,Standard Warranty,Replace,GX,Y,Actual Complaint,,Other,Replace ADVC,No,,,,
2020,Aug-20,72510726,2020/08/20,In Progress,CR-2908722,24/08/2020,In Progress,Troubleshooting*,Series-A,Functional,Other mechanical default,Cust_C,AP Complaint: Series-A2 Switch failed to Close during testing at Cust_C,Standard Warranty,?,GX,Y,Actual Complaint,,LAC,TBD,No ,,,,
2020,Aug-20,72435258,2020/08/18,In Progress,N/A,N/A,N/A,Troubleshooting*,Series-G,Electronics,No Response,Cust_B,AP Complaint: Series-G3 faulty Cust_B LBS G6258,Standard Warranty,Advise,GX,N,Actual Complaint,,Other,TBD,N/A,,,,
2020,Aug-20,72434483,2020/08/18,In Progress,CR-2918013,28/08/2020,In Progress,Troubleshooting*,Series-A,Functional,Other mechanical default,Cust_B,AP Complaint: Series-A2 Cust_B Power MechaniGIG issue CAR MLS1476 LBS6504,Standard Warranty,Replace,GX,Y,Actual Complaint,,Other,TBD,No,,,,
2020,Aug-20,72401407,2020/08/17,In Progress,CR-2904880,20/08/2020,In Progress,Troubleshooting*,Series-G,Electronics,Data Invalid / Corrupt,Cust_D,AP Complaint: Series-G3 Cust_D box1 won't boot,Standard Warranty,Replace,GX,Y,Actual Complaint,,Other,Replace ADVC,No,,,,
2020,Aug-20,72122667,2020/08/05,In Progress,CR-2911007,25/08/2020,In Progress,Troubleshooting*,Series-A,Functional,Unresponsive to Command,Cust_E,"AP Complaint: Series-A27 Cust_E HC78314-Motor Pack- Tank St, Morpeth",Standard Warranty,Replace,GX,Y,Actual Complaint,,Other,Replace Motorpack,No,,,,
2020,Jul-20,72011193,2020/07/31,In Progress,N/A,N/A,N/A,Troubleshooting*,Series-G,Software,Alarm,Cust_C,AP Complaint: Cust_C Series-G2 backup Fail not reset South West ACR Pole 44 DHL3,Standard Warranty,?,GX,?,Actual Complaint,,Other,TBD,N/A,"On-going, no CR raised",,,Answer Provided to Customer
2020,Jul-20,71941183,2020/07/29,25/08/2020,N/A,N/A,N/A,Troubleshooting*,Series-G,Electronics,Display/HMI,DPAS,AP Complaint: Series-G3 PanelB communication Lost and wrong LED indication,Standard Warranty,?,GX,?,Actual Complaint,,Other,TBD,N/A,"On-going, no CR raised",,,Answer Provided to Customer
2020,Jul-20,71907929,2020/07/28,In Progress,CR-2875807,4/08/2020,In Progress,Troubleshooting*,Series-C,Manufacturing,Assembly,KPS,AP Complaint: N38 KPS Missing plates,Standard Warranty,Replace,GX,Y,Actual Complaint,,LAC,Send parts,No,plates need to be sent to customer,1,,Answer Provided to Customer
2020,Jul-20,71862587,2020/07/28,In Progress,CR-2866159,28/07/2020,In Progress,Troubleshooting*,Series-G,Electronic,Circuit breaker / Trip unit / Relay,Cust_C,AP Complaint: Series-G3 terminaL re-booting.,Standard Warranty,Replace,GX,Y,Actual Complaint,,Other,Replace/Test,No,,1,,Answer Provided to Customer
2020,Jul-20,71158932,2020/07/01,14/07/2020,N/A,N/A,N/A,Troubleshooting*,Series-G,Electronics,No Response,DPAS,AP Complaint: Series-G3 Intermittent fault FIM 2 (3rd case from same batch same customer),Standard Warranty,Replace,GX,N,Actual Complaint,,Other,None,N/A,Not sure why no CR raised,,,Closed
2020,Jun-20,70766577,2020/06/18,In Progress,CR-2806030,23/06/2020,In Progress,Troubleshooting*,Series-G,Electronic,Display / indicator,Cust_I,AP Complaint: Series-G3 PanelB Communication Lost error,Standard Warranty,Replace,GX,Y,Actual Complaint,,Other,Replace ADVC,No,,1,,
2020,Jun-20,70633504,2020/06/15,In Progress,N/A,N/A,N/A,Troubleshooting*,Series-G,Software,Bug,DPAS,AP Complaint: Series-G2 ADR Hanging issue,Standard Warranty,Advise,GX,?,Actual Complaint,,Other,?,N/A,,,,
2020,Jun-20,70468119,2020/06/09,9/06/2020,N/A,N/A,N/A,Documentation,Series-B,Other,Symptom not described ,DPAS,AP Complaint: E27 Test report PO 025331/3102374,Standard Warranty,Advise,GX,N,Customer Request,,Other,None,N/A,,,,
2020,Jun-20,70434309,2020/06/08,In Progress,N/A,N/A,N/A,Troubleshooting*,Series-G,Other,Symptom not described ,Hills PW,AP Complaint: Series-G2 terminaL.,Standard Warranty,?,GX,?,Actual Complaint,,Other,?,N/A,Waiting on update,1,,
2020,Jun-20,70349820,2020/06/04,4/06/2020,N/A,N/A,N/A,Troubleshooting*,Series-G,Other ,Symptom not described ,DPAS,AP Complaint: Series-G Intermittent fault FIM 2-4,Standard Warranty,?,GX,?,Actual Complaint,,Other,?,N/A,,,,
2020,Jun-20,70274616,2020/06/02,3/06/2020,CR-2770057,2/06/2020,Cancelled,Maintenance Support,Series-F,Appearance,Corrosion / Water damage,TR,AP Complaint: Series-A-27 to Series-G 3 Ultra Control cable corrosion,Standard Warranty,Advise,GX,N,Customer Request,,Other,Update Inspections,Cancelled,update iAuditor,,,
2020,May-20,69992317,2020/05/22,In Progress,No,N/A,,Troubleshooting*,Series-G,Other,Other,DPAS,AP Complaint: Series-G Intermittent fault FIM 2,Standard Warranty,Advise,GX,N,Customer Request,,Other,None,N/A,,,,
2020,May-20,69919918,2020/05/20,In Progress,No,N/A,N/A,Troubleshooting*,Series-G,Electronics,Power supply,DPAS,AP Complaint: Series-G3 Aux-power switching off issue (R3),Standard Warranty,Advise,GX,N,Customer Request,,Other,None,N/A,,,,
2020,May-20,69839888,2020/05/18,18/05/2020,No,N/A,N/A,Digital Tool Support,Series-F,N/A,N/A,Cust_F,AP Complaint: SW comtrade files not conforming to std C37.111.,Standard Warranty,Advise,GX,N,Customer Request,,Other,None,N/A,,,,
2020,May-20,69755323,2020/05/14,In Progress,CR-2745205,15/05/2020,2/06/2020,Troubleshooting*,Series-A,Mechanical,Mechanical Assembly,Cust_C,AP Complaint: Series-A2 Cust_C mechanism adjustment out Mech Stopper loose,Standard Warranty,Repair,GX,Y,Actual Complaint,,LAC,Update Training,Yes,Training update,,,
2020,May-20,69718225,2020/05/13,In Progress,CR-2740551,13/05/2020,In Progress,Troubleshooting*,Series-G,Electronics,No Response,Cust_A,AP Complaint: Series-G3 Start-up issue MDS 3315,Standard Warranty,Replace,GX,Y,Actual Complaint,,Other,Replace ADVC,No,,1,,
2020,May-20,69716709,2020/05/13,In Progress,CR-2740548,13/05/2020,In Progress,Troubleshooting*,Series-G,Electronics,No Response,Cust_A,AP Complaint: Series-G3 Start-up issue MDS 3314,Standard Warranty,Replace,GX,Y,Actual Complaint,,Other,Replace ADVC,No,,1,,
2020,May-20,69677999,2020/05/12,In Progress,CR-2738017,12/05/2020,26/05/2020,Troubleshooting*,Series-G,Electronics,Electronic Component Failure,Cust_B,AP Complaint: Series-G3 power down - Hawkesbury Rd Winmalee,Standard Warranty,Replace,GX,Y,Actual Complaint,,Other,Replace ADVC,Yes,,1,,
2020,May-20,69600297,2020/05/08,In Progress,No,N/A,N/A,Troubleshooting*,Series-A,Component,Electrical Component,Cust_B,AP Complaint: Series-A2 Cable loose CAR AUS 0101,Out of Warranty,Advise,EF,N,Customer Request,,Other,None,N/A,,,,
2020,May-20,69599730,2020/05/08,11/05/2020,No,N/A,N/A,Offer Selection,Series-D,N/A,N/A,DPAS ,AP Complaint: Time current test U series _Recloser,N/A,Advise,GX,N,Customer Request,,Other,None,N/A,,,,
2020,May-20,69597865,2020/05/08,In Progress,No,N/A,N/A,Troubleshooting*,Series-F,Manufacturing,Assembly,FPA,AP Complaint: EER wiring issue DHL3 Au FPA,Standard Warranty,Advise,GX,N,Customer Request,,Other,None,N/A,,,,
2020,May-20,69525655,2020/05/06,11/05/2020,No,N/A,N/A,Maintenance Support,Series-G,N/A,N/A,Cust_B,AP Complaint: Old terminaLs,Out of Warranty,Advise,EF,N,Customer Request,,Other,None,N/A,,,,
2020,May-20,69524303,2020/05/06,In Progress,CR-2731813,7/05/2020,26/05/2020,Troubleshooting*,Series-G,Electronics,Power supply,Cust_C,AP Complaint: DHL3 Cust_C Series-G3 Issues with Aux Supply Fail R3 issue,Standard Warranty,Replace,GX,Y,Actual Complaint,,Other,Replace ADVC,Yes,Put on Hold until customer needs it ,1,,
2020,May-20,69502551,2020/05/05,6/05/2020,No,N/A,N/A,Maintenance Support,Series-C,N/A,N/A,Cust_H,AP Complaint: Cust_H: GIG File req- N series- Supplied W series file,Standard Warranty,Advise,GX,N,Customer Request,,Other,None,N/A,,,,
2020,May-20,69420243,2020/05/01,In Progress,CR-2729656,6/05/2020,2/06/2020,Troubleshooting*,Series-G,Function,Installation Failure,Cust_H,AP Complaint: Series-A27 Cust_B Energy Protection setup failure,Standard Warranty,Repair,GX,Y,Actual Complaint,,Other,Replace HMI,Yes,HMI to be sent to Rajesh,,,
2020,Apr-20,69351991,2020/04/29,In Progress,No,N/A,N/A,Troubleshooting*,Series-F,Other,Other,FPA,AP Complaint: PCB3 11 failure,Standard Warranty,Advise,GX,N,Customer Request,,Other,None,N/A,Looks like the old SCEM - Update required,,,
2020,Apr-20,69318558,2020/04/28,In Progress,No,N/A,N/A,Maintenance Support,Series-F,Aspect,Cracked/Broken/Deformed,Lendlease,AP Complaint: OVC2/S1 22/27.8 PS Repair or replacement of PS,Out of Warranty,Repair,GX,N,Customer Request,,Other,Repair,N/A,Repair at customer cost,1,,
2020,Apr-20,69237321,2020/04/24,1/05/2020,CR-2714290,24/04/2020,29/04/2020,Delivery or Collection Issues*,Series-F,N/A,N/A,IN Elect Eng ,AP Complaint: E27 external PS LV Cable missing,Standard Warranty,Replace,GX,N,Actual Complaint,,LAC,Send LV cable,Yes,,,,
2020,Apr-20,69177143,2020/04/22,27/04/2020,No,N/A,N/A,Installation / Setup,Series-C,N/A,N/A,Cust_L,AP Complaint: Series-C GIG file request,Standard Warranty,Advise,GX,N,Customer Request,,Other,None,N/A,,,,
2020,Apr-20,69172754,2020/04/22,In Progress,CR-2710262,22/04/2020,In Progress,Troubleshooting*,Series-G,Abnormal Indicatots,Other failure mode,Cust_A,AP Complaint: Series-G3 MDS 3293 of a LK3431 red LED light indicating green during commissioning. S/N 803063,Standard Warranty,Repair,GX,Y,Actual Complaint,,Other,Replace HMI,No,Awaiting unit to be returned,1,,
2020,Apr-20,69140400,2020/04/21,In Progress,No,N/A,N/A,Troubleshooting*,Series-G,Abnormal Indicatots,Other failure mode,Cust_C,AP Complaint: Cust_C Series-A Series-G2 FTIM Ttrip: KTS-MLN GasSwitch Pole 164A - Fault,Out of Warranty,?,EF,N,Actual Complaint,,Other,?,N/A,Possible Goodwill,1,,
2020,Apr-20,69065411,2020/04/17,1/05/2020,No,N/A,N/A,Installation / Setup,Series-G,N/A,N/A,Cust_B,AP Complaint: Series-G3 LBS for Cust_B issues with radio comms. DHL3,,Advise,GX,N,Customer Request,,Other,None,N/A,,,,
2020,Apr-20,69064360,2020/04/17,20/04/2020,No,N/A,N/A,Additional Documentation Request,Series-F,N/A,N/A,DPAS,AP Complaint: Series-A2 Type test streamlining- reports,Standard Warranty,Advise,GX,N,Customer Request,,Other,None,N/A,,,,
