Year,Month ,MD,ProdTotal,MQD,NQC_inter_K,NQC_exter_K,DVC_K,Series-C,Series-D,Series-E,Series-A,Series-B,Series-G,CustComplaints_All,CustComplaints_GX,CustComplaints_EF,EDR_All,EDR_GX,EDR_EF,Other,LAC,Comment
Jan-18,Jan,0,14,0,0,0,0,0,0,0,10,0,4,3,1,2,2,0,2,,,
Feb-18,Feb,0,126,0,0.428,0,687.4,25,0,2,56,0,43,5,2,3,4,1,3,,,
Mar-18,Mar,24,199,3,0.761,1.602,1061.4,13,0,3,111,0,72,7,6,1,1,0,1,,,
Apr-18,Year,45,234,3,1.559,0,1082.7,14,0,0,112,0,108,3,2,1,1,0,1,,,
May-18,May,48,341,1,2.732,12.91,1721,19,4,12,177,0,129,9,6,3,7,4,3,,,
Jun-18,Jun,19,298,3,2.488,5.547,1563.3,11,1,0,165,2,119,9,5,4,5,1,4,,,
Jul-18,Jul,23,262,2,1.739,9.043,1301.2,20,12,0,114,1,115,6,3,3,5,2,3,,,
Aug-18,Aug,29,199,0,1.595,0.824,1014.3,5,2,23,96,1,72,5,2,3,5,2,3,,,
Sep-18,Sep,50,201,2,2.615,0,1109.3,2,0,3,108,0,90,6,5,1,3,2,1,,,
Oct-18,Oct,22,183,1,1.401,18.161,924.1,6,3,4,78,6,86,8,7,1,2,1,1,,,
Nov-18,Nov,16,203,2,1.428,0,,8,2,5,67,20,101,5,5,0,2,2,0,,,
Dec-18,Dec,7,215,1,0.771,0.262,,16,0,0,46,21,132,2,2,0,2,2,0,,,
Jan-19,Jan,9,101,1,1.581,0.984,,5,8,0,38,6,44,8,4,4,3,1,2,,,
Feb-19,Feb,20,117,0,1.973,0.075,,5,2,0,68,1,41,8,6,2,5,4,1,,,
Mar-19,Mar,41,138,1,1.781,28.386,,9,0,9,67,1,52,6,4,2,4,2,2,,,
Apr-19,Apr,41,189,0,1.33,8.371,,5,0,27,78,4,75,9,7,2,4,2,2,,,
May-19,May,28,275,0,2.4,0.642,,12,0,14,119,1,129,8,8,0,4,4,0,,,
Jun-19,June,38,283,1,1.87,1.96,,34,0,20,103,2,124,3,3,0,1,1,0,,,
Jul-19,July,25,242,0,2.56,31.6,,9,1,48,55,6,123,12,9,3,3,3,0,,,
Aug-19,Aug,23,274,0,2.27,8.3,,11,1,43,88,16,115,4,4,0,3,3,0,,,
Sep-19,Sept,27,317,1,1.9,9.2,,5,2,56,114,2,138,2,1,1,0,0,0,,,
Oct-19,Oct,20,374,2,7.102,10.02,,84,1,44,86,8,151,4,3,1,1,1,0,,,
Nov-19,Nov,26,228,1,3.57,8.18,,30,2,0,122,6,68,11,11,0,0,2,0,8,3,
Dec-19,Dec,15,185,3,2.38,0,,7,0,0,108,22,48,1,1,0,1,1,0,1,0,
Jan-20,Jan,10,144,2,1.61,22,328,10,0,2,80,4,48,2,1,1,0,0,0,2,0,2 x AutoCVT added to MQD
Feb-20,Feb,15,201,1,3.13,22,,45,0,0,60,5,91,3,3,0,1,1,0,2,1,
Mar-20,Mar,19,242,2,1.78,22,,7,0,2,137,4,92,6,6,0,3,3,0,6,0,
Apr-20,Apr,15,184,1,7.65,22,,23,0,0,97,2,62,4,2,2,1,1,0,3,1,
May-20,May,3,139,0,2.23,48.93,,21,0,2,57,17,42,6,6,0,6,6,0,5,1,
Jun-20,Jun,16,273,1,1.47,0.263,,26,0,20,103,2,122,7,7,0,3,3,0,6,1,
Jul-20,July,5,223,0,2.36,3.297,,1,3,4,126,6,83,5,5,0,2,2,0,1,1,
Aug-20,Aug,7,210,0,2.03,78.28,,8,0,0,132,0,70,7,7,0,5,5,0,5,2,
Sep-20,Sept,12,315,1,1.36,16.88,,5,2,56,114,2,136,6,6,0,2,2,0,4,2,
